code,Date,Close,Open,High,Low,Volume,RSI,ROC,CCI,MACD,EXPMA,VMACD
000625.SZ,20110701,2.995113681,3.014604659,3.017853156,2.96912571,12696548,57.32778212,5.86,100.3140166,-0.004313025,2.922935863,9505.463255
000625.SZ,20110704,3.20301745,3.017853156,3.209514443,3.017853156,35571707,70.97703346,13.73,172.5714286,0.018272594,2.964948101,27840.91603
000625.SZ,20110705,3.216011436,3.206265947,3.229005422,3.151041508,21109424,71.58870648,15.65,168.1549728,0.036796201,3.002607601,30352.15993
000625.SZ,20110706,3.235502414,3.216011436,3.29397535,3.190023465,34107803,72.52412298,18.29,157.6015965,0.052444505,3.037541823,42342.84242
000625.SZ,20110707,3.147100698,3.206035168,3.288543426,3.141207251,49043903,62.47691608,12.65,113.4383292,0.057054926,3.053975654,63169.54987
000625.SZ,20110708,3.105846569,3.152994145,3.176567933,3.076379334,26658663,58.4102078,11.43,61.34802074,0.056725952,3.061756292,60909.71838
000625.SZ,20110711,3.135313804,3.111740016,3.164781039,3.082272781,20057867,60.39332538,10.43,53.89627918,0.058172422,3.072789918,53179.47505
000625.SZ,20110712,3.070485887,3.111740016,3.111740016,3.06459244,20818495,54.26313505,3.75,19.0221994,0.053471305,3.072444314,47123.75146
000625.SZ,20110713,3.135313804,3.070485887,3.147100698,3.06459244,25023840,58.77007941,5.48,31.23679494,0.054350192,3.081874737,45196.90704
000625.SZ,20110714,3.117633463,3.12352691,3.129420357,3.094059675,19451810,57.1169973,4.66,22.44231818,0.053009005,3.087238546,38727.28241
000625.SZ,20110715,3.099953122,3.117633463,3.117633463,3.082272781,15880336,55.43769833,4.06,3.509631204,0.04994373,3.089145733,30368.11255
000625.SZ,20110718,3.105846569,3.105846569,3.117633463,3.094059675,14997685,55.90310658,4.49,-0.181240505,0.047443133,3.091650858,22768.72098
000625.SZ,20110719,3.052805546,3.094059675,3.099953122,3.035125205,20696690,50.76440974,1.93,-63.64206976,0.040712121,3.085824061,21101.52392
000625.SZ,20110720,3.046912099,3.06459244,3.094059675,3.035125205,12502196,50.21211898,-4.87,-88.80837826,0.034504448,3.079987267,13017.9239
