code,Date,Close,Open,High,Low,Volume,RSI,ROC,CCI,MACD,EXPMA,VMACD
000938.SZ,20110701,4.860867277,4.885505996,4.920704166,4.843268192,1351368,46.40815938,0.15,74.22178988,-0.088158203,4.821859041,-3379.9065
000938.SZ,20110704,4.980541055,4.896065447,4.980541055,4.867906911,2065447,53.4306881,7.12,110.1522843,-0.068917396,4.845661343,-2679.60972
000938.SZ,20110705,5.005179774,4.980541055,5.019259042,4.9277438,2040806,54.74549059,8.63,122.5289339,-0.051091824,4.869589108,-2120.063926
000938.SZ,20110706,4.991100506,4.987580689,5.001659957,4.9277438,1815671,53.81056958,9.16,100.8135126,-0.037666809,4.887815818,-1837.107947
000938.SZ,20110707,4.952382519,4.99814014,5.026298676,4.934783434,2307480,51.22006666,6.27,89.78788854,-0.029807999,4.897500823,-1202.156818
000938.SZ,20110708,4.969981604,4.948862702,5.015739225,4.931263617,1733043,52.3431294,7.38,86.0034291,-0.021907203,4.90837294,-1149.228534
000938.SZ,20110711,4.973501421,4.959422153,4.980541055,4.89254563,2133401,52.5782847,5.84,63.63008972,-0.015186683,4.918142212,-775.2899806
000938.SZ,20110712,4.864387094,4.945342885,4.955902336,4.850307826,1771410,45.14199412,0.95,0.854700855,-0.018452527,4.910078944,-762.2507154
000938.SZ,20110713,4.959422153,4.860867277,4.973501421,4.860867277,1901042,51.5670592,2.4,29.86330179,-0.013219808,4.917480426,-639.9380066
000938.SZ,20110714,5.015739225,4.987580689,5.050937395,4.934783434,2589514,54.93538493,3.19,105.3727009,-0.004476916,4.932219246,12.39221268
000938.SZ,20110715,5.079095931,5.001659957,5.093175199,5.001659957,2625985,58.4373639,4.49,162.512219,0.007478044,4.954250748,552.4295957
000938.SZ,20110718,5.128373369,5.121333735,5.24452733,5.107254467,4916172,60.97736922,5.2,231.4975845,0.020690209,4.980369142,2796.170114
000938.SZ,20110719,5.036858127,5.100214833,5.10373465,5.001659957,2290043,54.33611479,3.62,90.00719942,0.023505473,4.988842489,2427.303567
000938.SZ,20110720,5.047417578,5.040377944,5.096695016,4.984060872,1857909,54.94586046,1.34,70.04107981,0.026285645,4.997628753,1765.921702
000938.SZ,20110721,4.948862702,5.029818493,5.050937395,4.945342885,1505258,48.44400427,-1.13,-15.63544469,0.020302364,4.990313845,946.3035266
000938.SZ,20110722,5.142452637,4.994620323,5.205809343,4.973501421,5189461,58.76568661,3.03,122.1960112,0.030826313,5.013134664,3232.333805
000938.SZ,20110725,4.843268192,5.135413003,5.135413003,4.82214929,3418519,44.07848925,-2.2,-77.29943966,0.014853711,4.987654693,3573.83019
000938.SZ,20110726,4.808070022,4.797510571,4.874946545,4.776391669,1567399,42.72557947,-3.26,-167.9636835,-0.000637541,4.960716992,2323.980005
000938.SZ,20110727,4.85734746,4.808070022,4.867906911,4.755272767,1503541,45.25877864,-2.34,-133.0422125,-0.008836332,4.945211563,1267.327695
000938.SZ,20110728,4.818629473,4.82214929,4.82214929,4.737673682,1133161,43.62608679,-0.94,-129.7786093,-0.018247802,4.926224249,129.5638888
000938.SZ,20110729,4.829188924,4.818629473,4.878466362,4.808070022,1342210,44.21712498,-2.63,-82.60246489,-0.02457116,4.91166895,-596.5602773
000938.SZ,20110801,4.825669107,4.811589839,4.871426728,4.769352035,1144014,44.05133439,-3.79,-86.21348621,-0.029526127,4.898768974,-1316.767641
000938.SZ,20110802,4.727114231,4.815109656,4.829188924,4.663757525,1436348,39.57675469,-6.93,-115.4142582,-0.040933671,4.873020762,-1632.825858
000938.SZ,20110803,4.776391669,4.68135661,4.85734746,4.663757525,1097888,42.7102209,-6.86,-85.62358277,-0.045473761,4.858526398,-2131.838697
000938.SZ,20110804,4.797510571,4.772871852,4.836228558,4.769352035,944901,44.04938479,-4.75,-58.25171564,-0.046827894,4.849374024,-2620.549626
000938.SZ,20110805,4.645264838,4.595696464,4.776266972,4.535506294,1568686,37.28340588,-7.97,-132.3394805,-0.059500131,4.818757646,-2475.972722
000938.SZ,20110808,4.252258438,4.60277766,4.60277766,4.181446474,2637485,26.12708622,-14.08,-270.2177914,-0.100101396,4.733782765,-1481.880815
000938.SZ,20110809,4.135418698,4.07168793,4.177905876,3.89465802,2569889,23.84285879,-19.58,-266.4152883,-0.140091297,4.644028155,-740.0690834
000938.SZ,20110810,4.234555447,4.192068269,4.400963563,4.192068269,2504138,29.47676201,-12.57,-135.8850941,-0.161917589,4.582607249,-202.8946604
000938.SZ,20110811,4.294745617,4.082309725,4.312448608,4.075228528,2188487,32.73057107,-10.68,-117.258738,-0.17237125,4.539428004,-31.52068619
000938.SZ,20110812,4.422207152,4.365557581,4.599237062,4.354935786,3715634,39.13480383,-8.96,-41.01906636,-0.168429224,4.521844876,1321.342806
000938.SZ,20110815,4.461153732,4.390341768,4.475316125,4.34785459,1934354,40.98363268,-7.42,-41.6227849,-0.160314471,4.512741205,945.2564498
000938.SZ,20110816,4.415125955,4.493019116,4.560290482,4.393882366,1731500,39.45817546,-8.57,-27.16786662,-0.155801545,4.498098917,478.0088894
000938.SZ,20110817,4.400963563,4.34785459,4.454072536,4.34785459,1152565,38.97744212,-8.8,-37.11381395,-0.151620023,4.483528614,-355.3441438
000938.SZ,20110818,4.379719973,4.390341768,4.482397321,4.362016982,1667797,38.22514003,-7.35,-28.46114325,-0.148310685,4.467957318,-593.1952765
000938.SZ,20110819,4.312448608,4.252258438,4.326611,4.213311858,1518364,35.86449501,-9.71,-66.64055828,-0.149394124,4.444631011,-891.9916308
000938.SZ,20110822,4.294745617,4.312448608,4.372638777,4.291205018,1212044,35.24759863,-10.48,-45.65086143,-0.14995268,4.422148202,-1360.284027
000938.SZ,20110823,4.408044759,4.319529804,4.418666554,4.319529804,1225709,42.11055935,-5.11,-6.286826628,-0.139643325,4.420032686,-1700.777111
000938.SZ,20110824,4.38680117,4.454072536,4.468234928,4.376179375,1469405,41.22821895,3.16,31.08379328,-0.131669463,4.415047958,-1753.761755
000938.SZ,20110825,4.500100312,4.393882366,4.510722107,4.393882366,1894090,47.54136129,8.82,91.06499905,-0.11488352,4.427805811,-1436.507994
